Species (common name),Species (latin name),Functional group,commercial group,Max length (cm),Trophic level,Depth range (m),Coord,Temperature (?C),Vulnerability(%)
Common cuttlefish,Sepia officinalis,Cephalopods,Other fishes and inverts,49,3.55,0-50,70øN-40øS,8.4 - 19.7,30
Common octopus,Octopus vulgaris,Cephalopods,Other fishes and inverts,130,3.55,0-347,60øN-60øS,10 - 28.9,78
Blackbellied angler ,Lophius budegassa,Large bathydemersals,Other fishes and inverts,100,4.41,300-1013,57øN-28øS,9 - 13.5,69
Silver scabbardfish,Lepidopus caudatus,Large bathydemersals,Perch-likes,172,3.82,42-620,64øN-49øS,9.8 - 16,53
Wreckfish ,Polyprion americanus,Large bathydemersals,Perch-likes,181,3.83,40-600,70øN-55øS,5.2 - 19,72
Escolar,Lepidocybium flavobrunneum,Large bathypelagics,Perch-likes,200,4.34,200-1100,50øN-48øS,7 - 14.4,85
Long snouted lancetfish,Alepisaurus ferox,Large bathypelagics,Other fishes and inverts,176,4.03,0-1830,84øN-57øS,4.7 - 14.6,83
Opah,Lampris guttatus,Large bathypelagics,Other fishes and inverts,160,4.22,0-500,70øN-45øS,5 - 19.9,60
Black scabbardfish ,Aphanopus carbo,Large benthopelagics,Perch-likes,110,4.5,200-1700,68øN-32øS,1.1 - 12.6,64
Common dentex,Dentex dentex,Large benthopelagics,Perch-likes,92,4.53,0-200,60øN-15øS,13.3 - 21.1,66
Flathead grey mullet,Mugil cephalus,Large benthopelagics,Perch-likes,100,2.13,0-120,62øN-57øS,11.3 - 27.9,42
Greater forkbeard,Phycis blennoides,Large benthopelagics,Cod-likes,97,3.49,10-1047,69øN-30øS,5.4 - 14.6,52
Largehead hairtail,Trichiurus lepturus,Large benthopelagics,Perch-likes,192,4.42,0-589,49øN-54øS,10.1 - 23.2,57
Meagre,Argyrosomus regius,Large benthopelagics,Perch-likes,192,4.05,15-300,66øN-2øS,13.3 - 19.4,67
Oilfish ,Ruvettus pretiosus,Large benthopelagics,Perch-likes,264,4.08,100-800,55øN-43øS,8.6 - 19,85
Roudi escolar,Promethichthys prometheus ,Large benthopelagics,Perch-likes,100,4.18,80-800,50øN-36øS,8.6 - 16.5,57
European conger,Conger conger,Large demersals,Other fishes and inverts,292,4.31,0-1171,68øN-12øS,4.4 - 14.4,86
European eel,Anguilla anguilla,Large demersals,Other fishes and inverts,109,3.55,0-700,75øN-25øS,3 - 14.5,64
European hake,Merluccius merluccius,Large demersals,Cod-likes,130,4.42,30-1075,72øN-18øS,6.9 - 15.4,64
European seabass,Dicentrarchus labrax,Large demersals,Perch-likes,92,3.8,10-100,72øN-11øS,7.3 - 19.5,69
White grouper,Epinephelus aeneus,Large demersals,Perch-likes,100,4.02,20-200,42øN-18øS,14.8 - 20.2,52
Albacore ,(thunnus alalunga),Large pelagics,Tuna and billfishes,136,4.3,20-100,59øN-46øS,8.8 - 21.2,58
Atlantic bluefin tuna ,(Thunnus thynnus),Large pelagics,Tuna and billfishes,376,4.45,0-985,72øN-58øS,7.5 - 24.7,82
Atlantic sailfish ,Istiophorus albicans,Large pelagics,Tuna and billfishes,258,4.5,0-200,60øN-43øS,16.3 - 27.4,65
