year,scientific_name,functional_group,Landed value (tonnes)
1950,Miscellaneous aquatic invertebrates,Other demersal invertebrates,70.6401
1950,Elasmobranchii,Large sharks (>=90 cm),282.5604
1950,Bivalvia,Other demersal invertebrates,282.5604
1950,Pteriomorphia,Other demersal invertebrates,253.5456
1950,Scombroidea,Large pelagics (>=90 cm),1059.6015
1950,Mugilidae,Medium reef assoc. fish (30 - 89 cm),0.210443182
1950,Soleidae,Small to medium flatfishes (<90 cm),70.6401
1950,Palinuridae,"Lobsters, crabs",1059.6015
1950,Epinephelus,Medium reef assoc. fish (30 - 89 cm),565.1208
1950,Epinephelus,Medium reef assoc. fish (30 - 89 cm),0.016835455
1950,Pagellus,Medium benthopelagics (30 - 89 cm),70.6401
1950,Torpedo,Small to medium rays (<90 cm),0.042088636
1950,Loligo,Cephalopods,70.6401
1950,Sepia,Cephalopods,353.2005
1950,Donax,Other demersal invertebrates,36.2208
1950,Dicentrarchus labrax,Large demersals (>=90 cm),70.6401
1950,Dicentrarchus labrax,Large demersals (>=90 cm),4.050610364
1950,Conger conger,Large demersals (>=90 cm),706.401
1950,Conger conger,Large demersals (>=90 cm),0.028752316
1950,Pomatomus saltatrix,Large pelagics (>=90 cm),0.828304364
1950,Dicentrarchus punctatus,Medium pelagics (30 - 89 cm),1.397342727
1950,Argyrosomus regius,Large benthopelagics (>=90 cm),70.6401
1950,Argyrosomus regius,Large benthopelagics (>=90 cm),6.886658219
1950,Lichia amia,Large pelagics (>=90 cm),0.005083647
1950,Seriola dumerili,Large reef assoc. fish (>=90 cm),0.129633
1950,Sparus aurata,Medium demersals (30 - 89 cm),3.34397517
1950,Mullus surmuletus,Medium demersals (30 - 89 cm),988.9614
1950,Sciaena umbra,Medium demersals (30 - 89 cm),0.007625471
1950,Muraena helena,Large reef assoc. fish (>=90 cm),0.038837083
1950,Chelon auratus,Medium pelagics (30 - 89 cm),0.0462975
1950,Diplodus puntazzo,Medium benthopelagics (30 - 89 cm),0.037879773
1950,Diplodus vulgaris,Medium benthopelagics (30 - 89 cm),70.6401
1950,Diplodus vulgaris,Medium benthopelagics (30 - 89 cm),21.41631571
1950,Pagrus pagrus,Medium benthopelagics (30 - 89 cm),0.064314737
1950,Balistes capriscus,Medium benthopelagics (30 - 89 cm),0.221402733
1950,Chamelea gallina,Other demersal invertebrates,615.7536
1950,Callista chione,Other demersal invertebrates,380.3184
