year;functional_group;Landed value (tonnes)
1950;Other demersal invertebrates;70,6401
1950;Large sharks (>=90 cm);282,5604
1950;Other demersal invertebrates;282,5604
1950;Other demersal invertebrates;253,5456
1950;Large pelagics (>=90 cm);1059,6015
1950;Medium reef assoc. fish (30 - 89 cm);0,210443182
1950;Small to medium flatfishes (<90 cm);70,6401
1950;Lobsters, crabs;1059,6015
1950;Medium reef assoc. fish (30 - 89 cm);565,1208
1950;Medium reef assoc. fish (30 - 89 cm);0,016835455
1950;Medium benthopelagics (30 - 89 cm);70,6401
1950;Small to medium rays (<90 cm);0,042088636
1950;Cephalopods;70,6401
1950;Cephalopods;353,2005
1950;Other demersal invertebrates;36,2208
1950;Large demersals (>=90 cm);70,6401
1950;Large demersals (>=90 cm);4,050610364
1950;Large demersals (>=90 cm);706,401
1950;Large demersals (>=90 cm);0,028752316
1950;Large pelagics (>=90 cm);0,828304364
1950;Medium pelagics (30 - 89 cm);1,397342727
1950;Large benthopelagics (>=90 cm);70,6401
1950;Large benthopelagics (>=90 cm);6,886658219
1950;Large pelagics (>=90 cm);0,005083647
1950;Large reef assoc. fish (>=90 cm);0,129633
1950;Medium demersals (30 - 89 cm);3,34397517
1950;Medium demersals (30 - 89 cm);988,9614
1950;Medium demersals (30 - 89 cm);0,007625471
1950;Large reef assoc. fish (>=90 cm);0,038837083
1950;Medium pelagics (30 - 89 cm);0,0462975
1950;Medium benthopelagics (30 - 89 cm);0,037879773
1950;Medium benthopelagics (30 - 89 cm);70,6401
1950;Medium benthopelagics (30 - 89 cm);21,41631571
1950;Medium benthopelagics (30 - 89 cm);0,064314737
1950;Medium benthopelagics (30 - 89 cm);0,221402733
1950;Other demersal invertebrates;615,7536
1950;Other demersal invertebrates;380,3184
1950;Other demersal invertebrates;507,0912
1951;Other demersal invertebrates;70,185258
1951;Large sharks (>=90 cm);280,741032
1951;Other demersal invertebrates;280,741032
1951;Other demersal invertebrates;252,137004
1951;Large pelagics (>=90 cm);1052,77887
1951;Medium reef assoc. fish (30 - 89 cm);0,210443182
1951;Small to medium flatfishes (<90 cm);70,185258
1951;Lobsters, crabs;1052,77887
1951;Medium reef assoc. fish (30 - 89 cm);561,482064
1951;Medium reef assoc. fish (30 - 89 cm);0,016835455
1951;Medium benthopelagics (30 - 89 cm);70,185258
1951;Small to medium rays (<90 cm);0,042088636
1951;Cephalopods;70,185258
1951;Cephalopods;350,92629
1951;Other demersal invertebrates;36,019572
1951;Large demersals (>=90 cm);70,185258
1951;Large demersals (>=90 cm);4,050610364
1951;Large demersals (>=90 cm);701,85258
1951;Large demersals (>=90 cm);0,028752316
1951;Large pelagics (>=90 cm);0,828304364
1951;Medium pelagics (30 - 89 cm);1,397342727
1951;Large benthopelagics (>=90 cm);70,185258
