year;scientific_name;Landed value (tonnes)
1950;Miscellaneous aquatic invertebrates;70,6401
1950;Elasmobranchii;282,5604
1950;Bivalvia;282,5604
1950;Pteriomorphia;253,5456
1950;Scombroidea;1059,6015
1950;Mugilidae;0,210443182
1950;Soleidae;70,6401
1950;Palinuridae;1059,6015
1950;Epinephelus;565,1208
1950;Epinephelus;0,016835455
1950;Pagellus;70,6401
1950;Torpedo;0,042088636
1950;Loligo;70,6401
1950;Sepia;353,2005
1950;Donax;36,2208
1950;Dicentrarchus labrax;70,6401
1950;Dicentrarchus labrax;4,050610364
1950;Conger conger;706,401
1950;Conger conger;0,028752316
1950;Pomatomus saltatrix;0,828304364
1950;Dicentrarchus punctatus;1,397342727
1950;Argyrosomus regius;70,6401
1950;Argyrosomus regius;6,886658219
1950;Lichia amia;0,005083647
1950;Seriola dumerili;0,129633
1950;Sparus aurata;3,34397517
1950;Mullus surmuletus;988,9614
1950;Sciaena umbra;0,007625471
1950;Muraena helena;0,038837083
1950;Chelon auratus;0,0462975
1950;Diplodus puntazzo;0,037879773
1950;Diplodus vulgaris;70,6401
1950;Diplodus vulgaris;21,41631571
1950;Pagrus pagrus;0,064314737
1950;Balistes capriscus;0,221402733
1950;Chamelea gallina;615,7536
1950;Callista chione;380,3184
1950;Acanthocardia tuberculata;507,0912
1951;Miscellaneous aquatic invertebrates;70,185258
1951;Elasmobranchii;280,741032
1951;Bivalvia;280,741032
1951;Pteriomorphia;252,137004
1951;Scombroidea;1052,77887
1951;Mugilidae;0,210443182
1951;Soleidae;70,185258
1951;Palinuridae;1052,77887
1951;Epinephelus;561,482064
1951;Epinephelus;0,016835455
1951;Pagellus;70,185258
1951;Torpedo;0,042088636
1951;Loligo;70,185258
1951;Sepia;350,92629
1951;Donax;36,019572
1951;Dicentrarchus labrax;70,185258
1951;Dicentrarchus labrax;4,050610364
1951;Conger conger;701,85258
1951;Conger conger;0,028752316
1951;Pomatomus saltatrix;0,828304364
1951;Dicentrarchus punctatus;1,397342727
1951;Argyrosomus regius;70,185258
1951;Argyrosomus regius;6,886658219
1951;Lichia amia;0,005083647
1951;Seriola dumerili;0,129633
1951;Sparus aurata;3,34397517
1951;Mullus surmuletus;982,593612
1951;Sciaena umbra;0,007625471
1951;Muraena helena;0,038837083
1951;Chelon auratus;0,0462975
1951;Diplodus puntazzo;0,037879773
1951;Diplodus vulgaris;70,185258
1951;Diplodus vulgaris;21,41631571
1951;Pagrus pagrus;0,064314737
1951;Balistes capriscus;0,221402733
1951;Chamelea gallina;612,332724
1951;Callista chione;378,205506
1951;Acanthocardia tuberculata;504,274008
1952;Miscellaneous aquatic invertebrates;69,729516
1952;Elasmobranchii;278,918064
